Epoch 32/400: [===============] 100% | Error 41.2967 | Acc: 0.253889 AT 16.1944 | val_Acc 0.235 | val_AT 16.3477| nb_modif 5 | elaps: 0s
Epoch 33/400: [===============] 100% | Error 41.3242 | Acc: 0.288889 AT 15.6589 | val_Acc 0.24 | val_AT 16.4167| nb_modif 6 | elaps: 0s
Epoch 34/400: [===============] 100% | Error 41.3298 | Acc: 0.263333 AT 15.9694 | val_Acc 0.22 | val_AT 16.5321| nb_modif 5 | elaps: 0s
Epoch 35/400: [===============] 100% | Error 41.3354 | Acc: 0.243889 AT 16.255 | val_Acc 0.205 | val_AT 16.9777| nb_modif 5 | elaps: 0s
Epoch 36/400: [===============] 100% | Error 41.3651 | Acc: 0.27 AT 15.9228 | val_Acc 0.34 | val_AT 14.9249| nb_modif 6 | elaps: 0s
Epoch 37/400: [===============] 100% | Error 41.3937 | Acc: 0.238889 AT 16.4539 | val_Acc 0.17 | val_AT 17.2896| nb_modif 5 | elaps: 0s
Epoch 38/400: [===============] 100% | Error 41.3995 | Acc: 0.259444 AT 16.0589 | val_Acc 0.33 | val_AT 14.8914| nb_modif 5 | elaps: 0s
Epoch 39/400: [===============] 100% | Error 41.4053 | Acc: 0.337778 AT 14.7761 | val_Acc 0.33 | val_AT 14.8095| nb_modif 5 | elaps: 0s
Epoch 40/400: [===============] 100% | Error 41.4099 | Acc: 0.337778 AT 14.6644 | val_Acc 0.34 | val_AT 14.769| nb_modif 4 | elaps: 0s
Epoch 41/400: [===============] 100% | Error 41.4609 | Acc: 0.395556 AT 13.7667 | val_Acc 0.445 | val_AT 12.8688| nb_modif 5 | elaps: 0s
Epoch 42/400: [===============] 100% | Error 41.4869 | Acc: 0.440556 AT 12.9967 | val_Acc 0.44 | val_AT 12.9143| nb_modif 4 | elaps: 0s
Epoch 43/400: [===============] 100% | Error 41.4906 | Acc: 0.488889 AT 11.9006 | val_Acc 0.54 | val_AT 10.9446| nb_modif 3 | elaps: 0s
