Epoch 92/400: [===============] 100% | Error 34.0772 | Acc: 0.826111 AT 4.76056 | val_Acc 0.83 | val_AT 4.56946| nb_modif 1 | elaps: 0s
Epoch 93/400: [===============] 100% | Error 34.0784 | Acc: 0.83 AT 4.63889 | val_Acc 0.845 | val_AT 4.27285| nb_modif 1 | elaps: 0s
Epoch 94/400: [===============] 100% | Error 34.0795 | Acc: 0.838889 AT 4.43556 | val_Acc 0.845 | val_AT 4.21136| nb_modif 1 | elaps: 0s
Epoch 95/400: [===============] 100% | Error 34.0806 | Acc: 0.838889 AT 4.43 | val_Acc 0.845 | val_AT 4.21106| nb_modif 1 | elaps: 0s
Epoch 96/400: [===============] 100% | Error 34.0827 | Acc: 0.838333 AT 4.44389 | val_Acc 0.85 | val_AT 4.16106| nb_modif 2 | elaps: 0s
Epoch 97/400: [===============] 100% | Error 34.0838 | Acc: 0.845556 AT 4.325 | val_Acc 0.86 | val_AT 4.00581| nb_modif 1 | elaps: 0s
Epoch 98/400: [===============] 100% | Error 34.0865 | Acc: 0.85 AT 4.24333 | val_Acc 0.865 | val_AT 3.91003| nb_modif 1 | elaps: 0s
Epoch 99/400: [===============] 100% | Error 34.0877 | Acc: 0.863333 AT 4.00222 | val_Acc 0.865 | val_AT 3.86455| nb_modif 1 | elaps: 0s
Epoch 100/400: [===============] 100% | Error 34.0887 | Acc: 0.862778 AT 3.99667 | val_Acc 0.87 | val_AT 3.74432| nb_modif 1 | elaps: 0s
Epoch 101/400: [===============] 100% | Error 34.0898 | Acc: 0.870556 AT 3.82222 | val_Acc 0.885 | val_AT 3.47372| nb_modif 1 | elaps: 0s
Epoch 102/400: [===============] 100% | Error 34.0908 | Acc: 0.875556 AT 3.72833 | val_Acc 0.885 | val_AT 3.45737| nb_modif 1 | elaps: 0s
Epoch 103/400: [===============] 100% | Error 34.0918 | Acc: 0.885556 AT 3.52278 | val_Acc 0.895 | val_AT 3.25229| nb_modif 1 | elaps: 0s
Epoch 104/400: [===============] 100% | Error 34.0928 | Acc: 0.890556 AT 3.42444 | val_Acc 0.885 | val_AT 3.38126| nb_modif 1 | elaps: 0s
Epoch 105/400: [===============] 100% | Error 34.0938 | Acc: 0.881667 AT 3.54889 | val_Acc 0.905 | val_AT 2.99191| nb_modif 1 | elaps: 0s
Epoch 106/400: [===============] 100% | Error 34.0948 | Acc: 0.882778 AT 3.50111 | val_Acc 0.895 | val_AT 3.14996| nb_modif 1 | elaps: 0s
Epoch 107/400: [===============] 100% | Error 34.1185 | Acc: 0.87 AT 3.71 | val_Acc 0.895 | val_AT 3.14575| nb_modif 1 | elaps: 0s
Epoch 108/400: [===============] 100% | Error 34.1196 | Acc: 0.868333 AT 3.73278 | val_Acc 0.88 | val_AT 3.40573| nb_modif 1 | elaps: 0s
Epoch 109/400: [===============] 100% | Error 34.1206 | Acc: 0.856111 AT 3.97167 | val_Acc 0.875 | val_AT 3.52703| nb_modif 1 | elaps: 0s
Epoch 110/400: [===============] 100% | Error 34.1216 | Acc: 0.838889 AT 4.29722 | val_Acc 0.88 | val_AT 3.47264| nb_modif 1 | elaps: 0s
Epoch 111/400: [===============] 100% | Error 34.1227 | Acc: 0.816667 AT 4.73889 | val_Acc 0.835 | val_AT 4.31736| nb_modif 1 | elaps: 0s
Epoch 112/400: [===============] 100% | Error 34.1249 | Acc: 0.817778 AT 4.73167 | val_Acc 0.81 | val_AT 4.77659| nb_modif 2 | elaps: 0s
Epoch 113/400: [===============] 100% | Error 34.2547 | Acc: 0.796111 AT 5.16444 | val_Acc 0.825 | val_AT 4.48888| nb_modif 2 | elaps: 0s
