Epoch 11/400: [===============] 100% | Error 45.0601 | Acc: 0.76 AT 7.36389 | val_Acc 0.815 | val_AT 6.32652| nb_modif 4 | env_th 5 | elaps: 0s
Epoch 1/400: [===============] 100% | Error 7.97459 | Acc: 0.005 AT 19.9139 | val_Acc 0 | val_AT 19.9| nb_modif 3 | env_th 5 | elaps: 0s
Epoch 2/400: [===============] 100% | Error 20.2652 | Acc: 0 AT 20 | val_Acc 0 | val_AT 19.9995| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 3/400: [===============] 100% | Error 30.6399 | Acc: 0.00222222 AT 19.98 | val_Acc 0 | val_AT 20| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 4/400: [===============] 100% | Error 39.6373 | Acc: 0.0194444 AT 19.8411 | val_Acc 0 | val_AT 20| nb_modif 10 | env_th 5 | elaps: 1s
Epoch 5/400: [===============] 100% | Error 43.1829 | Acc: 0.0433333 AT 19.4244 | val_Acc 0.13 | val_AT 18.18| nb_modif 11 | env_th 5 | elaps: 1s
Epoch 6/400: [===============] 100% | Error 44.295 | Acc: 0.32 AT 14.6567 | val_Acc 0.58 | val_AT 10.0159| nb_modif 9 | env_th 5 | elaps: 1s
Epoch 7/400: [===============] 100% | Error 44.5992 | Acc: 0.622778 AT 9.42611 | val_Acc 0.66 | val_AT 8.69508| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 8/400: [===============] 100% | Error 44.7881 | Acc: 0.695556 AT 8.19222 | val_Acc 0.765 | val_AT 6.94848| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 9/400: [===============] 100% | Error 44.9148 | Acc: 0.726111 AT 7.77833 | val_Acc 0.7 | val_AT 8.08474| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 10/400: [===============] 100% | Error 45.0113 | Acc: 0.67 AT 8.90778 | val_Acc 0.6 | val_AT 10.0604| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 11/400: [===============] 100% | Error 45.1057 | Acc: 0.576111 AT 10.6744 | val_Acc 0.535 | val_AT 11.4203| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 12/400: [===============] 100% | Error 45.1887 | Acc: 0.610556 AT 10.1878 | val_Acc 0.6 | val_AT 10.3471| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 13/400: [===============] 100% | Error 45.2595 | Acc: 0.615 AT 10.2283 | val_Acc 0.605 | val_AT 10.3467| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 14/400: [===============] 100% | Error 45.2972 | Acc: 0.687778 AT 9.10222 | val_Acc 0.62 | val_AT 10.2917| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 15/400: [===============] 100% | Error 45.3279 | Acc: 0.704444 AT 9.02111 | val_Acc 0.77 | val_AT 7.97146| nb_modif 5 | env_th 5 | elaps: 0s
Epoch 16/400: [===============] 100% | Error 45.3575 | Acc: 0.663889 AT 9.55889 | val_Acc 0.495 | val_AT 12.1449| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 17/400: [===============] 100% | Error 45.3849 | Acc: 0.501111 AT 12.0256 | val_Acc 0.5 | val_AT 12.0957| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 18/400: [===============] 100% | Error 45.4064 | Acc: 0.59 AT 10.6656 | val_Acc 0.56 | val_AT 10.9505| nb_modif 7 | env_th 5 | elaps: 0s
Epoch 19/400: [===============] 100% | Error 45.4208 | Acc: 0.618889 AT 10.0978 | val_Acc 0.605 | val_AT 10.1698| nb_modif 6 | env_th 5 | elaps: 0s
Epoch 20/400: [===============] 100% | Error 45.4328 | Acc: 0.603889 AT 10.2328 | val_Acc 0.625 | val_AT 10.0708| nb_modif 6 | env_th 5 | elaps: 0s
